,timetweet,isitweet,id,name,label,cleantweet
0,2021-03-23 5:00:43,b'RT @amanz: Pencipta Vaksin Covid-19 Pfizer-BioNTech Kini Membangunkan Pula Vaksin Untuk\xc2\xa0Kanser https://t.co/oMv5ClG8wu https://t.co/MA7kjWt\xe2\x80\xa6',1.3742245667345736e+18,pidutMFZ,netral,cipta vaksin covid pfizer biontech bangun vaksin
1,2021-03-23 5:00:41,b'Ayo vaksin lindungi diri dan keluarga dari Covid-19\n\n@divisihumaspolri \n#kapoldasulsel \n#poldasulsel \n#opsyustisipoldasulsel https://t.co/d1zXsepZ6A',1.3742245590339092e+18,Ditpamobvit15,positif,ayo vaksin lindung keluarga covid kapoldasulsel poldasulsel opsyustisipoldasulsel
2,2021-03-23 5:00:31,b'Vaksin Astrazeneca didistribusikan dgn sgt baik ke jawa timur sehingga diapresiasi presiden jokowi Divaksin Asyik Lho https://t.co/By52tPxmc1',1.3742245190118236e+18,AjengMerindu,netral,vaksin astrazeneca distribusi dgn sgt jawa timur apresiasi presiden jokowi vaksin asyik lho
3,2021-03-23 5:00:26,b'Demi apa ini vaksin kedua lebih sakit \xf0\x9f\x98\xad\xf0\x9f\x98\xad',1.374224495049728e+18,lipianne,negatif,vaksin sakit
4,2021-03-23 5:00:22,b'Guru Penerima Vaksin Melebihi Database https://t.co/KHxn6DW7Xb',1.37422447851998e+18,jawapos,netral,guru terima vaksin lebih database
5,2021-03-23 5:00:00,b'Sampurasun wargi jabar \xf0\x9f\xa5\xb0\n.\nWargi sudah tahu Vaksin COVID-19 AstraZeneca?\n.\nVaksin ini adalah salah satu vaksin yang akan digunakan dalam proses pelaksanaan vaksinasi COVID-19 nasional di Indonesia \xf0\x9f\x98\x8a\n.\nYuk simak info selengkapnya tentang Vaksin COVID-19 AstraZeneca \xf0\x9f\x98\x89 https://t.co/TvrlbttdF4',1.3742243879607624e+18,jabarprovgoid,netral,sampurasun wargi jabar nwargi vaksin covid astrazeneca nvaksin salah vaksin proses laksana vaksinasi covid nasional nyuk simak info lengkap vaksin covid astrazeneca
6,2021-03-23 4:59:48,b'Ketua MUI dan para santri Jawa Timur berterima kasih kepada bapak Jokowi karena diberi diberi vaksin astrazeneca dan kami bersyukur mudah-mudahan nanti dapat ditiru oleh komponen masyarakat lain\nDivaksin Asyik Lho https://t.co/QqyEpDm3jG',1.3742243365218632e+18,Wonosoboasri3,positif,ketua mui santri jawa timur terima kasih jokowi vaksin astrazeneca syukur mudah mudah tiru komponen masyarakat ndivaksin asyik lho
7,2021-03-23 4:59:43,b'Setelah vaksin ke-2 rasanya kok malah mual \xf0\x9f\xa4\xa2',1.3742243149925212e+18,sheilanarita,negatif,vaksin mual
8,2021-03-23 4:59:42,"b'RT @FerdinandHaean3: Bg saya bukan soal vaksinnya yg menarik perhatian, tapi kaos orange yg dikenakan Anies Baswedan ini. Mudah2an pertanda\xe2\x80\xa6'",1.3742243114944755e+18,Botet95003594,negatif,vaksin tarik perhati kaos orange kena anies baswedan mudah tanda
9,2021-03-23 4:59:38,b'Ketua MUI dan para santri Jawa Timur berterima kasih kepada bapak Jokowi karena diberi diberi vaksin astrazeneca dan kami bersyukur mudah-mudahan nanti dapat ditiru oleh komponen masyarakat lain\nDivaksin Asyik Lho https://t.co/HQT2bwyUeZ',1.3742242970492928e+18,cupangmu1,positif,ketua mui santri jawa timur terima kasih jokowi vaksin astrazeneca syukur mudah mudah tiru komponen masyarakat ndivaksin asyik lho
10,2021-03-23 4:59:26,b'Jadwal vaksin buat rantau gimana ya \xf0\x9f\xa4\xa3',1.3742242455977738e+18,heruanggaSS,netral,jadwal vaksin rantau gimana
11,2021-03-23 4:59:26,b'Baca ini di @hariankompas. Swedia dan Norway masih belum lanjut dengan vaksin ini: https://t.co/NdY6hhusEb https://t.co/G79vT3M5gS',1.374224245161562e+18,Diellad,netral,baca swedia norway vaksin
12,2021-03-23 4:59:25,"b'Terdapat beberapa keadaan yang menjadikan VAKSINASI TIDAK SESUAI, iaitu:\n\n\xe2\x9c\x94 ALERGI TERUK dan ANAFILAKSIS, setelah menerima dos pertama vaksin COVID-19 (jangan ambil dos kedua)\n\xe2\x9c\x94 ALAHAN TERUK, ANAFILAKSIS terhadap vaksin, ubat-ubatan atau bahan lain'",1.3742242410427515e+18,JKJAVMY,netral,jadi vaksinasi tidak sesuai iaitu alergi teruk anafilaksis terima dos vaksin covid ambil dos alahan teruk anafilaksis vaksin ubat ubat bahan
13,2021-03-23 4:59:19,b'RT @NgkongRoses: Senada dg WHO yg menyatakan manfaat penggunaan vaksin tersebut lebih besar dibandingkan efek samping yg ditimbulkan &amp; mere\xe2\x80\xa6',1.374224215465894e+18,SOGOL49688803,positif,nada who manfaat guna vaksin banding efek samping timbul amp mere
14,2021-03-23 4:59:14,"b'RT @jokowi: Bapak Kiai Hasan Mutawakkil Alallah, Ketua MUI Jatim menerima vaksin AstraZeneca hari ini di Sidoarjo. ""Hukumnya halal dan ta\xe2\x80\xa6'",1.3742241939869573e+18,Mochammadnurkh3,positif,kiai hasan mutawakkil alallah ketua mui jatim terima vaksin astrazeneca sidoarjo hukum halal
15,2021-03-23 4:59:13,b'RT @TirtoID: Yang janggal-janggal tentang Vaksin Nusantara. Hehe.  \n\nhttps://t.co/yMNHNy8zx6',1.3742241913569894e+18,dhimas_akbar,negatif,janggal janggal vaksin nusantara hehe
16,2021-03-23 4:59:05,"b'RT @XFiles9000: ""Persis di situlah letak \'tidak ilmiahnya\'. Bagaimana mungkin mendudukan seorang tersangka, terdakwa, yang kasusnya masih b\xe2\x80\xa6'",1.374224155323736e+18,Novelis11,netral,persis situ letak tidak ilmiah duduk sangka dakwa kasus
17,2021-03-23 4:59:04,"b'Vaksinasi Atlet Penting Untuk Menjaga Semangat Juang di Kejuaraan Internasional Atlet, pelatih, dan tenaga pendukungnya telah menerima vaksin Covid-19 dosis pertama pada 26 Februari dan dosis kedua pada 13 Maret 2021 lalu. https://t.co/qgzJjoa809'",1.3742241542542623e+18,terkinidotid,netral,vaksinasi atlet jaga semangat juang juara internasional atlet latih tenaga dukung terima vaksin covid dosis februari dosis maret
18,2021-03-23 4:59:01,b'@VIVAcoid Ini issue persaingan antar produsen vaksin. Sponsornya pasti dari pesaingnya. Kabarkan yang bennar untuk rakyat.',1.3742241398342e+18,Mayaka259,netral,issue saing produsen vaksin sponsor saing kabar bennar rakyat
19,2021-03-23 4:58:55,b'Sakit disuntik.\nIni kalo begini terus fix nda bakal bisa nerima vaksin \xf0\x9f\x98\xa3 https://t.co/lf6A6hYOrf',1.3742241147521843e+18,anggiielukita,negatif,sakit suntik nini kalo fix nda nerima vaksin
20,2021-03-23 4:58:55,b'RT @idtodayco: Relawan Uji Vaksin Sinovac di Bandung Positif Covid-19 Jadi 95 Orang https://t.co/7oHpeRl3ga',1.3742241144082473e+18,AlFatih24678932,netral,rawan uji vaksin sinovac positif covid orang
21,2021-03-23 4:58:54,b'Aku siap di vaksin serum super soldier\xf0\x9f\x92\x89',1.3742241096519557e+18,shabrinamarsya,netral,vaksin serum super soldier
22,2021-03-23 4:58:40,b'Simak Sederet Fakta Vaksin AstraZeneca di Indonesia! https://t.co/W0EgRQU83c',1.374224052831748e+18,cnbcindonesia,netral,simak deret fakta vaksin astrazeneca
23,2021-03-23 4:58:37,b'@beersantay Lagi nyantai abis di vaksin \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1.3742240394603067e+18,wowrara,netral,nyantai abis vaksin
24,2021-03-23 4:58:37,b'LPPOM MUI Jelaskan Soal Vaksin AstraZeneca Mengandung Babi https://t.co/eAo2c7vl04',1.374224038172631e+18,monitordaycom,negatif,lppom mui vaksin astrazeneca kandung babi
25,2021-03-23 4:58:35,b'RT @Khairykj: Syeikh Abdurrahman al-Sudais selaku Imam Masjid al-Haram menerima suntikan dos pertama vaksin COVID-19.',1.3742240319944212e+18,luqeem,netral,syeikh abdurrahman suda imam masjid haram terima sunti dos vaksin covid
26,2021-03-23 4:58:34,b'Kemenkes Bicara Tripsin Babi dalam Pembuatan Vaksin AstraZeneca https://t.co/fonkyHEh0e',1.374224027149947e+18,bunamaki123,negatif,kemenkes bicara tripsin babi buat vaksin astrazeneca
27,2021-03-23 4:58:18,b'@bugenbi Dpt permen nggak habis vaksin?',1.3742239585856635e+18,dzulalwi,netral,dpt permen nggak habis vaksin
28,2021-03-23 4:58:15,"b'RT @oxfara: Saat ini baru segelintir orang yang divaksin, sementara ratusan juta lainnya masih menunggu. Jika paspor vaksin untuk perjalana\xe2\x80\xa6'",1.3742239480370708e+18,didut,netral,gelintir orang vaksin ratus juta tunggu paspor vaksin perjalana
29,2021-03-23 4:58:13,b'PT Bio Farma akan menjaga kualitas vaksin AstraZeneca tetap terjaga selama proses distribusi atau pengiriman. Salah satunya dengan terus memantau suhu tempat penyimpanan vaksin dalam proses pengiriman ke daerah. #TempoNasional https://t.co/ZJlIddA0tj',1.374223940281725e+18,tempodotco,netral,bio farma jaga kualitas vaksin astrazeneca jaga proses distribusi kirim salah satu pantau suhu simpan vaksin proses kirim daerah temponasional
30,2021-03-23 4:58:00,b'RT @penseskoad51: PEGAWAI NEGERI SIPIL SESKOAD MENERIMA VAKSIN TAHAP PERTAMA\n\nBandung. Sekolah Staf dan Komando TNI AD (Seskoad) PNS Seskoa\xe2\x80\xa6',1.3742238841913423e+18,ArnoldAlamsyah3,netral,pegawai negeri sipil seskoad terima vaksin tahap nbandung sekolah staf komando tni seskoad pns seskoa
